Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AGR2	-5.42513887738055	11.3676775862069	-18.9475986203146	2.28168416252913e-70	2.00907250693652e-67	149.387770727002
LOC145837	-3.71687584586257	5.23118891625616	-18.8846852921693	5.73897144017072e-70	4.84273540026406e-67	148.471521062665
FOXC1	3.02467398151242	7.66823924466338	18.8182519182929	1.51719545132495e-69	1.22904969120932e-66	147.505810437716
SPRYD3	-0.859214625236666	10.4595645320197	-18.8137125508207	1.62129224537891e-69	1.26286194436207e-66	147.439891704811
FAM174A	-1.28570177079854	8.44540147783251	-18.7993331025702	2.00045745761742e-69	1.50049127524697e-66	147.231137065962
CMBL	-2.32735282770911	10.1211701149425	-18.7471130584753	4.28801146338459e-69	3.10145743415945e-66	146.473765582049
SLC7A8	-2.39146662434569	10.9060516420361	-18.7125903820634	7.09393784154937e-69	4.95401479886407e-66	145.97370346701
THSD4	-3.11131577903998	10.5973920361248	-18.7047957963973	7.94730365162322e-69	5.36495978508912e-66	145.860868918597
GAMT	-2.47610572669563	8.55521986863711	-18.5241128071487	1.09799501793315e-67	7.17309519457486e-65	143.252604992377
A2ML1	4.9646569551175	3.41058620689655	18.4916103317815	1.75828672054415e-67	1.11277570826438e-64	142.784909412646
FOXA1	-4.2851181200579	11.4560796387521	-18.4565467217079	2.92057589108048e-67	1.79234857412612e-64	142.280875819768
IVD	-1.34230206481791	10.6935794745484	-18.4019263904144	6.43130149784095e-67	3.83078582159632e-64	141.496787473911
LOC84740	3.64428745294577	3.27316830870279	18.3287358853332	1.8483971856936e-66	1.06953542299048e-63	140.448172797516
B3GNT5	2.40970545940527	7.38896600985222	18.2552914754657	5.31924086543226e-66	2.99236850018706e-63	139.398298293265
GABBR2	3.74414869584587	2.02149482758621	18.230925701526	7.54944390133093e-66	4.1321983213447e-63	139.050522881035
SLC44A4	-4.47057401715112	9.77681617405583	-18.1789541637227	1.59177665390604e-65	8.48333178813292e-63	138.309611708606
SIDT1	-2.77863621561421	8.89718136288998	-18.1211375551425	3.64475216840364e-65	1.89265438242334e-62	137.486793258011
ABCC8	-4.53247782381111	5.66987430213465	-18.1017594200068	4.80961059720284e-65	2.4351058453638e-62	137.211348925994
XBP1	-2.23528399376324	14.6966427750411	-18.0985491239473	5.03565470375235e-65	2.48736778196079e-62	137.165733524545
C10orf32	-1.07066348813898	9.20561059113301	-18.0734089091126	7.21416210887147e-65	3.47860026259202e-62	136.808674552112
